col_names,keep
GRnumber,
abbrev,1
psdate,1
pedate,1
Adenovirus.C.D.F,1
Adenovirus.A,1
Enterovirus,1
humanVirus,
eColi,1
ent,1
lachno2,1
bacHum,1
ProjectSiteID,
OMabs_dilution,
Omabs_AnalyticalDate,
Omabs_Pathlength,
hydro_condition,
sinDate,
cosDate,
BK,
MF,
UW,
LD,
HW,
MW,
MC,
CG,
Turbidity_mean,1
OB1,1
OB2,1
OB3,1
S1.50,1
S2.50,1
S3.50,1
S1.25,1
S2.25,1
S3.25,1
Mrange.25,1
Mrange.50,1
TB,1
T,1
M,1
A,1
C,1
N,1
N2,1
D,1
F,1
J,1
S1,1
S2,1
S3,1
H1,1
H2,1
F1,1
F2,1
W,1
LA,1
S41,1
S42,1
S43,1
S44,1
S45,1
S1.WS,1
S2.WS,1
S3.WS,1
HIX_2002,1
FI_2005,1
FI_2001,1
FreshI,1
A254,1
A275,1
A280,1
A290,1
A295,1
A350,1
A370,1
A400,1
Sag240_255,1
Sag275_290,1
Sag290_350,1
Sag300_340,1
Sag350_400,1
Sag250_295,1
Aresid267,1
rA254_A275,1
rA254_A280,1
rA254_A290,1
rA254_A295,1
rA254_A350,1
rA254_A370,1
rA254_A400,1
rA275_A280,1
rA275_A290,1
rA275_A295,1
rA275_A350,1
rA275_A370,1
rA275_A400,1
rA280_A290,1
rA280_A295,1
rA280_A350,1
rA280_A370,1
rA280_A400,1
rA290_A295,1
rA290_A350,1
rA290_A370,1
rA290_A400,1
rA295_A350,1
rA295_A370,1
rA295_A400,1
rA350_A370,1
rA350_A400,1
rA370_A400,1
rSag240_255_Sag275_290,1
rSag290_350_Sag240_255,1
rSag300_340_Sag240_255,1
rSag350_400_Sag240_255,1
rSag240_255_Sag250_295,1
rSag290_350_Sag275_290,1
rSag300_340_Sag275_290,1
rSag350_400_Sag275_290,1
rSag275_290_Sag250_295,1
rSag300_340_Sag290_350,1
rSag350_400_Sag290_350,1
rSag290_350_Sag250_295,1
rSag350_400_Sag300_340,1
rSag300_340_Sag250_295,1
rSag350_400_Sag250_295,1
rS2.25_S1.25,1
rS1.25_S3.25,1
rS1.25_Mrange.25,1
rS1.25_Mrange.50,1
rS1.25_T,1
rA_S1.25,1
rS1.25_N,1
rS1.25_F,1
rS1.25_H2,1
rS2.25_S3.25,1
rS2.25_Mrange.25,1
rS2.25_Mrange.50,1
rS2.25_T,1
rA_S2.25,1
rS2.25_N,1
rS2.25_F,1
rS2.25_H2,1
rMrange.25_S3.25,1
rMrange.50_S3.25,1
rS3.25_T,1
rA_S3.25,1
rN_S3.25,1
rF_S3.25,1
rS3.25_H2,1
rMrange.25_Mrange.50,1
rMrange.25_T,1
rA_Mrange.25,1
rMrange.25_N,1
rMrange.25_F,1
rMrange.25_H2,1
rMrange.50_T,1
rA_Mrange.50,1
rMrange.50_N,1
rF_Mrange.50,1
rMrange.50_H2,1
rA_T,1
rN_T,1
rF_T,1
rT_H2,1
rA_N,1
rA_F,1
rA_H2,1
rF_N,1
rN_H2,1
rF_H2,1
logOB2,1
logOB3,1
logS1.50,1
logS2.50,1
logS3.50,1
logS1.25,1
logS2.25,1
logS3.25,1
logMrange.25,1
logMrange.50,1
logT,1
logM,1
logA,1
logC,1
logN,1
logD,1
logF,1
logJ,1
logS1,1
logS2,1
logS3,1
logH1,1
logH2,1
logF1,1
logF2,1
logW,1
logLA,1
logS41,1
logS42,1
logS43,1
logS44,1
logS45,1
logS1.WS,1
logS2.WS,1
logS3.WS,1
logA254,1
logA275,1
logA290,1
logA350,1
