Sampling location,Scale,USGS station ID,Great Lakes basin,Watershed abbreviation,urban,Agriculture,Forest,Water and wetlands,Impervious
"Menominee River Near Mc Allister, WI",Watershed,4067500,Michigan,Menominee,3.8,3.1,52.6,37.4,0.5
"Manitowoc River at Manitowoc, WI",Watershed,4085427,Michigan,Manitowoc,6.3,69.8,4.2,19.2,1.5
"Milwaukee River at Mouth at Milwaukee, WI",Watershed,4087170,Michigan,Milwaukee,29.3,41.5,11.3,16.8,11.7
"Clinton River at Moravian Drive at Mt. Clemens, MI",Watershed,4165500,Erie,Clinton,51.4,18.9,15,13.4,20
"River Rouge at Detroit, MI",Watershed,4166500,Erie,Rouge,92,0.2,4.5,3.3,33.6
"River Raisin Near Monroe, MI",Watershed,4176500,Erie,Raisin,10.3,66.9,10.9,11.5,2.5
"Maumee River Near Waterville, OH",Watershed,4193490,Erie,Maumee,9.7,79,6.5,4.3,2.4
"Portage River at Woodville, OH",Watershed,4195500,Erie,Portage,8.9,84.6,4.7,1.3,2.2
"Underwood Creek at Wauwatosa, WI",Subwatershed,4087088,Michigan,Underwood,89.5,1.2,2.3,6,30.1
"Menomonee River at Wauwatosa, WI",Subwatershed,4087120,Michigan,Wauwatosa,64.4,18.7,5.7,9.7,25.1
"Menomonee River at 16th Street at Milwaukee, WI",Subwatershed,4087142,Michigan,16th,67.1,17.2,5.3,8.9,27.6
"Milwaukee River Near Cedarburg, WI",Subwatershed,4086600,Michigan,Cedarburg,11.4,53.5,13.7,20.7,3.2
"Bark River at County Trunk Highway k Nr Merton, WI",Subwatershed,5426060,Michigan,Bark,29.2,35.1,15.8,16.3,4.7
"Kinnickinnic River @ S. 11th Street @ Milwaukee, WI",Small,4087159,Michigan,WI,97.9,0.4,0.7,0.4,51.3
"Middle Branch Clinton River at Macomb, MI",Small,4164800,Erie,MI,52.2,24.3,16.8,5.9,16.5
"Red Creek at East River Road at Rocheste, NY",Small,4231421,Ontario,NY,47,24.3,14,12.8,17.5
